pe_ratio,crest_factor,spectral_slope,gd_variance,class
0.8557877540588379,2.6746392250061035,-0.0008288290865499137,31864.82552682745,Voz
0.598510205745697,8.217872619628906,-0.001813494888231867,39339.25747024968,Voz
0.8158673644065857,2.9138150215148926,-0.0011465190087255755,84415.33389331678,Voz
1.844150185585022,3.182042360305786,-0.002134686838026704,1001129.4235533613,Voz
1.0110403299331665,2.284372568130493,-0.0008094440979544584,25264.287952140337,Voz
0.5138444304466248,2.1809799671173096,-0.0011839647568814842,77532.00109037453,Voz
0.4103817343711853,2.5449061393737793,-0.0023203923380274763,463294.3531963777,Voz
1.2484130859375,5.242474555969238,-0.0018340185278070886,23642.636416755126,Voz
2.0801069736480713,3.1109461784362793,-0.0014961519271292315,462220.6616732515,Voz
0.9331767559051514,2.135158061981201,-0.0018300120336315773,462191.42079452047,Voz
0.4292018413543701,2.4732587337493896,-0.001788924445568189,134348.50703953387,Voz
0.5603591799736023,2.8636903762817383,-0.00264161711304958,1869477.319953054,Voz
0.47234272956848145,2.7456412315368652,-0.0018629961565689954,455009.08874411654,Voz
0.3669705092906952,2.6978676319122314,-0.0013307795711215273,187632.81035916242,Voz
0.7714470624923706,2.5238914489746094,-0.0010456853269066532,381054.0238067565,Voz
0.7918362617492676,2.736008882522583,-0.001873536527009533,506320.7978836296,Voz
11.891739845275879,3.5426669120788574,-0.0014713805674231222,219173.94310110112,Voz
0.22076533734798431,3.058734893798828,-0.0016034660047114394,161360.05913806063,Voz
0.4956856966018677,2.4816787242889404,-0.001698343065877308,3867633.95566918,Voz
1.7160859107971191,2.5816595554351807,-0.0012606400247685066,108018.14981316697,Voz
1.0511183738708496,2.865111827850342,-0.0013790718629932547,609379.7746626398,Voz
1.217336893081665,3.1024329662323,-0.001819556315994706,275723.69891009526,Voz
0.5012619495391846,2.0165162086486816,-0.0008747554700376688,132882.59166665148,Voz
1.1389902830123901,4.706005573272705,-0.001967147679565673,276846.24328510556,Voz
1.1019827127456665,3.625943660736084,-0.0006888536071244448,250907.57067773672,Voz
1.3084688186645508,3.233912229537964,-0.0015847640593753263,511496.83800941426,Voz
1.396712064743042,1.994719386100769,-0.0008863765914924282,31710.676033125805,Voz
1.4994564056396484,2.2555336952209473,-0.0018449788277190534,642630.3403886531,Voz
1.3175469636917114,2.4722836017608643,-0.001042050830756314,693075.3277401702,Voz
